source_city,target_city,month,edge_weight
Hong Kong,Tokyo,202209,1
Hong Kong,Tokyo,202210,1
Hong Kong,Tokyo,202211,1
Hong Kong,Tokyo,202212,1
Hong Kong,Tokyo,202302,1
Hong Kong,Tokyo,202303,1
Hong Kong,Tokyo,202304,1
Hong Kong,Tokyo,202305,1
Hong Kong,Tokyo,202306,1
Hong Kong,Tokyo,202307,1
Hong Kong,Tokyo,202308,1
Hong Kong,Tokyo,202309,1
Hong Kong,Tokyo,202310,1
Hong Kong,Tokyo,202311,1
Hong Kong,Tokyo,202312,1
Hong Kong,Tokyo,202401,1
Hong Kong,Tokyo,202402,1
Hong Kong,Tokyo,202403,1
Hong Kong,Tokyo,202404,1
Hong Kong,Tokyo,202405,1
Hong Kong,Tokyo,202406,1
Hong Kong,Tokyo,202407,1
Hong Kong,Tokyo,202408,1
Hong Kong,Tokyo,202409,1
Hong Kong,Tokyo,202410,1
Hong Kong,Tokyo,202411,1
Hong Kong,Tokyo,202412,1
Hong Kong,Tokyo,202501,1
Hong Kong,Tokyo,202502,1
Hong Kong,Tokyo,202503,1
Hong Kong,Tokyo,202504,1
Hong Kong,Tokyo,202505,1
Hong Kong,Tokyo,202506,1
Hong Kong,Tokyo,202507,1
Hong Kong,Tokyo,202508,1
Hong Kong,Tokyo,202509,1
Hong Kong,Tokyo,202512,1
Hsinchu,Lyon,202205,1
Hsinchu,Lyon,202303,1
Hsinchu,Lyon,202408,1
Hsinchu,Shanghai,202205,1
Hsinchu,Shanghai,202208,1
Hsinchu,Shanghai,202301,1
Hsinchu,Shanghai,202302,1
Hsinchu,Shanghai,202303,1
Hsinchu,Shanghai,202305,1
Hsinchu,Shanghai,202312,1
Hsinchu,Shanghai,202401,1
Hsinchu,Shanghai,202408,1
Hsinchu,Shanghai,202411,1
Hsinchu,Shanghai,202503,1
Hsinchu,Singapore,202205,1
Hsinchu,Singapore,202208,1
Hsinchu,Singapore,202302,1
Hsinchu,Singapore,202303,1
Hsinchu,Singapore,202305,1
Hsinchu,Singapore,202312,1
Hsinchu,Singapore,202401,1
Hsinchu,Singapore,202411,1
Hsinchu,Singapore,202502,1
Hsinchu,Singapore,202503,1
Hsinchu,Tokyo,202205,1
Hsinchu,Tokyo,202208,1
Hsinchu,Tokyo,202302,1
Hsinchu,Tokyo,202303,1
Hsinchu,Tokyo,202305,1
Hsinchu,Tokyo,202312,1
Hsinchu,Tokyo,202401,1
Hsinchu,Tokyo,202408,1
Hsinchu,Tokyo,202411,1
Hsinchu,Tokyo,202503,1
Hsinchu,Tokyo,202505,1
Lyon,Shanghai,202203,1
Lyon,Shanghai,202204,1
Lyon,Shanghai,202205,1
Lyon,Shanghai,202209,1
Lyon,Shanghai,202210,1
Lyon,Shanghai,202211,1
Lyon,Shanghai,202212,1
Lyon,Shanghai,202303,1
Lyon,Shanghai,202304,1
Lyon,Shanghai,202306,1
Lyon,Shanghai,202308,1
Lyon,Shanghai,202310,1
Lyon,Shanghai,202401,1
Lyon,Shanghai,202406,1
Lyon,Shanghai,202407,1
Lyon,Shanghai,202408,1
Lyon,Shanghai,202509,1
Lyon,Singapore,202201,1
Lyon,Singapore,202204,1
Lyon,Singapore,202205,1
Lyon,Singapore,202209,1
Lyon,Singapore,202210,1
Lyon,Singapore,202211,1
Lyon,Singapore,202212,1
Lyon,Singapore,202303,1
Lyon,Singapore,202304,1
Lyon,Singapore,202305,1
Lyon,Singapore,202306,1
Lyon,Singapore,202307,1
Lyon,Singapore,202308,1
Lyon,Singapore,202310,1
Lyon,Singapore,202401,1
Lyon,Singapore,202404,1
Lyon,Singapore,202406,1
Lyon,Singapore,202407,1
Lyon,Tokyo,202204,1
Lyon,Tokyo,202205,1
Lyon,Tokyo,202206,1
Lyon,Tokyo,202209,1
Lyon,Tokyo,202210,1
Lyon,Tokyo,202211,1
Lyon,Tokyo,202212,1
Lyon,Tokyo,202301,1
Lyon,Tokyo,202302,1
Lyon,Tokyo,202303,1
Lyon,Tokyo,202304,1
Lyon,Tokyo,202305,1
Lyon,Tokyo,202306,1
Lyon,Tokyo,202307,1
Lyon,Tokyo,202308,1
Lyon,Tokyo,202310,1
Lyon,Tokyo,202402,1
Lyon,Tokyo,202404,1
Lyon,Tokyo,202405,1
Lyon,Tokyo,202406,1
Lyon,Tokyo,202407,1
Lyon,Tokyo,202408,1
Lyon,Tokyo,202501,1
Lyon,Tokyo,202502,1
Shanghai,Singapore,202201,1
Shanghai,Singapore,202202,1
Shanghai,Singapore,202203,1
Shanghai,Singapore,202204,1
Shanghai,Singapore,202205,1
Shanghai,Singapore,202207,1
Shanghai,Singapore,202208,1
Shanghai,Singapore,202209,1
Shanghai,Singapore,202210,1
Shanghai,Singapore,202211,1
Shanghai,Singapore,202212,1
Shanghai,Singapore,202301,1
Shanghai,Singapore,202302,1
Shanghai,Singapore,202303,1
Shanghai,Singapore,202304,1
Shanghai,Singapore,202305,1
Shanghai,Singapore,202306,1
Shanghai,Singapore,202307,1
Shanghai,Singapore,202308,1
Shanghai,Singapore,202309,1
Shanghai,Singapore,202310,1
Shanghai,Singapore,202311,1
Shanghai,Singapore,202312,1
Shanghai,Singapore,202401,1
Shanghai,Singapore,202402,1
Shanghai,Singapore,202403,1
Shanghai,Singapore,202404,1
Shanghai,Singapore,202405,1
Shanghai,Singapore,202406,1
Shanghai,Singapore,202407,1
Shanghai,Singapore,202408,1
Shanghai,Singapore,202409,1
Shanghai,Singapore,202410,1
Shanghai,Singapore,202411,1
