entity_id,entity_type,raw_location,platform,cleaned_location,matched_city,country,lat,lon,confidence
deep-diver,github_user,South Korea,GitHub,South Korea,,,,,low
X-D-Lab,github_organization,China,GitHub,China,,,,,low
karthink,github_user,,GitHub,,,,,,none
pezzolabs,github_organization,,GitHub,,,,,,none
OpenGVLab,github_organization,,GitHub,,,,,,none
Josh-XT,github_user,Ohio,GitHub,Ohio,Ohio,United States,40.2253569,-82.6881395,medium
DAMO-NLP-SG,github_organization,Singapore,GitHub,Singapore,Singapore,Singapore,1.3521,103.8198,high
CommandCodeAI,github_organization,United States of America,GitHub,United States of America,,,,,low
noahshinn,github_user,"San Francisco, CA",GitHub,"San Francisco, CA",San Francisco,United States,37.7749,-122.4194,high
jingyi0000,github_user,,GitHub,,,,,,none
mayneyao,github_user,,GitHub,,,,,,none
CVI-SZU,github_organization,"Shenzhen Univeristy, Shenzhen, China",GitHub,"Shenzhen Univeristy, Shenzhen, China",Shenzhen,China,22.5431,114.0579,high
hegelai,github_organization,,GitHub,,,,,,none
cheshire-cat-ai,github_organization,Italy,GitHub,Italy,,,,,low
ElricLiu,github_user,,GitHub,,,,,,none
mpoon,github_user,"San Francisco, CA",GitHub,"San Francisco, CA",San Francisco,United States,37.7749,-122.4194,high
ianarawjo,github_user,"Montréal, QC",GitHub,"Montréal, QC",Montreal,Canada,45.5017,-73.5673,high
FreedomIntelligence,github_organization,,GitHub,,,,,,none
gmpetrov,github_user,Paris,GitHub,Paris,Paris,France,48.8566,2.3522,high
ashishpatel26,github_user,Ahmedabad,GitHub,Ahmedabad,Ahmedabad,India,23.0215374,72.5800568,medium
microsoftarchive,github_organization,"Redmond, WA",GitHub,"Redmond, WA",Redmond,United States,47.674,-122.1215,high
PhoebusSi,github_user,"Beijing,China",GitHub,"Beijing,China",Beijing,China,39.9042,116.4074,high
henrywoo,github_user,USA,GitHub,USA,,,,,low
OpenPipe,github_organization,,GitHub,,,,,,none
FranxYao,github_user,London,GitHub,London,London,United Kingdom,51.5074,-0.1278,high
ohmplatform,github_organization,United States of America,GitHub,United States of America,,,,,low
stochasticai,github_organization,"Cambridge, MA",GitHub,"Cambridge, MA",Cambridge,United Kingdom,52.2053,0.1218,high
devflowinc,github_organization,United States of America,GitHub,United States of America,,,,,low
wenge-research,github_user,Beijing,GitHub,Beijing,Beijing,China,39.9042,116.4074,high
